공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
장미공원,어린이공원,경기도 이천시 이섭대천로1177번길 36,경기도 이천시 중리동 458-6번지,37.2758452,127.4451223,1650,배드민턴장,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
갈산제2공원,어린이공원,,경기도 이천시 갈산동 779,37.2808825,127.4586877,2100,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
진암공원,근린공원,,경기도 이천시 장호원읍 진암리 60-4,37.112001,127.620008,177579,다목적운동장+배드민턴장+농구장,조합놀이대,주차장+화장실,,,1976-12-10,경기도 이천시청,031-645-3844,2021-03-04
향교공원,어린이공원,경기도 이천시 설봉로81번길 34,경기도 이천시 창전동 408번지,37.2849017,127.4375887,1757,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
설봉공원,근린공원,경기도 이천시 경충대로2709번길 128,경기도 이천시 관고동 356번지,37.2794565,127.4275533,1644940,축구장+배드민턴장+농구장,조합놀이대,주차장+매점+화장실,대공연장,암벽등반장,1976-12-07,경기도 이천시청,031-645-3844,2021-03-04
온천공원,근린공원,경기도 이천시 애련정로 110-2,경기도 이천시 창전동 460-18번지,37.2802657,127.4503713,114600,축구장+배드민턴장+농구장,조합놀이대,주차장+화장실,대공연장,,1976-12-07,경기도 이천시청,031-645-3844,2021-03-04
수변공원,수변공원,경기도 이천시 경충대로2422번길 17,경기도 이천시 진리동 140번지,37.2681203,127.4605268,12040,배드민턴장+족구장,조합놀이대,화장실,,,2009-09-14,경기도 이천시청,031-645-3844,2021-03-04
심포니공원,어린이공원,경기도 이천시 서희로82번길 46,경기도 이천시 창전동 139번지,37.2822978,127.4457782,2947,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
이수흥공원,어린이공원,,경기도 이천시 창전동 76,37.2825461,127.4420405,1902,농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
희망공원,어린이공원,경기도 이천시 설봉로43번길 49,경기도 이천시 관고동 21번지,37.2820958,127.4361472,683,농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
한아름공원,어린이공원,경기도 이천시 중리천로 15,경기도 이천시 관고동 11번지,37.2807419,127.4396981,1297,농구대,조합놀이대,화장실,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
꿈나무공원,어린이공원,경기도 이천시 설봉로30번길 22,경기도 이천시 중리동 15번지,37.2785611,127.4388194,2526,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
남천공원,어린이공원,경기도 이천시 어재연로10번길 25,경기도 이천시 중리동 210번지,37.2780103,127.444436,3830,,조합놀이대,화장실,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
개나리공원,어린이공원,,경기도 이천시 창전동 414-13,37.2838603,127.4394771,1650,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
태극공원,어린이공원,,경기도 이천시 창전동 435-8,37.2841229,127.4454011,1200,농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2021-03-04
풍뎅이공원-2,어린이공원,,경기도 파주시 탄현면 법흥리 1734,37.773008,126.700836,794,,"조합놀이대, 그네",,,,2000-08-23,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(락가든),근린공원,,경기도 파주시 탄현면 성동리 681,37.778431,126.691694,12987,,,,,,1994-01-01,파주시 공원관리사업소,031-940-5382,2020-03-18
운정건강공원 1호,기타,경기도 파주시 와석순환로172번길 35,경기도 파주시 동패동 1800,37.7154819611,126.7419871178,142201,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
운정건강공원 2호,기타,,경기도 파주시 목동동 1083,37.720158,126.744249,137958,"배드민턴장,농구장,게이트볼장,씨름장,러버가든","조합놀이대,그네,흔들놀이기구","화장실,주차장",,"분수,벽천",2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
선유5-1어린이공원,어린이공원,,경기도 파주시 문산읍 선유리 1407,37.84668788,126.8002047,1969,,"미끄럼틀, 시소",,,,2012-11-23,파주시 공원관리사업소,031-940-5382,2020-03-18
법원소공원1,소공원,,경기도 파주시 법원읍 가야리 376-13,37.84987375,126.8681699,145,,,,,,2011-02-25,파주시 공원관리사업소,031-940-5382,2020-03-18
법원소공원2,소공원,,경기도 파주시 법원읍 가야리 379,37.84858163,126.8649741,133,,,,,,2011-02-25,파주시 공원관리사업소,031-940-5382,2020-03-18
법원소공원3,소공원,,경기도 파주시 법원읍 가야리 380-16,37.84833874,126.8668867,3580,,,,,,2011-02-25,파주시 공원관리사업소,031-940-5382,2020-03-18
법원어린이공원,어린이공원,,경기도 파주시 법원읍 가야리 378-1,37.84898703,126.8668427,1579,,"조합놀이대, 흔들놀이기구",,,,2013-07-12,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(계절화원),근린공원,,경기도 파주시 탄현면 성동리 669-3,37.781001,126.687914,7274,,,,,,1994-01-01,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(중앙공원),근린공원,,경기도 파주시 탄현면 법흥리 687-2,37.781391,126.692119,522540,,,,,,1994-01-01,파주시 공원관리사업소,031-940-5382,2020-03-18
약산공원,어린이공원,,경기도 파주시 탄현면 법흥리 1571,37.772345,126.705229,1720,,"조합놀이대,그네",,,,1994-01-01,파주시 공원관리사업소,031-940-5382,2020-03-18
여치공원,어린이공원,,경기도 파주시 탄현면 법흥리 1578,37.770761,126.703736,1825,,"조합놀이대,그네",,,,1994-01-01,파주시 공원관리사업소,031-940-5382,2020-03-18
소금쟁이공원,어린이공원,,경기도 파주시 탄현면 법흥리 1596,37.769408,126.701206,2560,게이트볼장,"조합놀이대,그네",,,,1994-01-01,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(3) 달맞이동산,근린공원,,경기도 파주시 탄현면 법흥리 1652-141,37.789713,126.697615,10121,,,,,,2005-06-14,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(2) 노을동산,근린공원,,경기도 파주시 탄현면 법흥리 1652-585,37.790205,126.702249,56189,,,,,,2005-06-14,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(4) 갈대광장,근린공원,경기도 파주시 탄현면 헤이리마을길 70-21,경기도 파주시 탄현면 법흥리 1652-239번지,37.7881749850,126.6992391478,9526,,,,,,2005-06-14,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(5) 근린공원,근린공원,,경기도 파주시 탄현면 법흥리 1652-343,37.786837,126.696621,2623,,,,,,2005-06-14,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(6) 근린공원,근린공원,,경기도 파주시 탄현면 법흥리 1652-403,37.786564,126.698839,8629,,,,,,2005-06-14,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(7) 근린공원,근린공원,,경기도 파주시 탄현면 법흥리 1652-470,37.787079,126.701419,10582,,,,,,2005-06-14,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(고산원),근린공원,,경기도 파주시 탄현면 성동리 680,37.777528,126.690802,10594,,,,공연장,,1994-01-01,파주시 공원관리사업소,031-940-5382,2020-03-18
한빛공원,근린공원,,경기도 파주시 야당동 1001,37.713121,126.748474,50679,"배드민턴장,게이트볼장","조합놀이대,흔들놀이기구",,,분수,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
금잔디어린이공원,어린이공원,,경기도 파주시 와동동 1319,37.732607,126.755849,6542,농구장,"조합놀이대,미끄럼틀,흔들놀이기구",,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 15호,소공원,,경기도 파주시 목동동 1037,37.723672,126.737497,606,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 19호,소공원,,경기도 파주시 동패동 1855,37.715109,126.738041,177,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 24호,소공원,,경기도 파주시 동패동 1869,37.712606,126.735632,337,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
미리내공원,역사공원,경기도 파주시 가람로116번길 170,경기도 파주시 와동동 1339,37.7305379967,126.7638785336,56866,,"미끄럼틀,오르는기구",,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
짚풀공원,문화공원,,경기도 파주시 목동동 921,37.731192,126.733025,18165,,,화장실,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
운정호수공원,수변공원,,경기도 파주시 와동동 1418,37.722296,126.761488,154279,"배드민턴장,농구장,멀티코트,파크골프장,족구장","조합놀이대,그네,흔들놀이기구,회전놀이기구","화장실,주차장",,"분수,벽천",2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
신촌산업단지 소공원 2호,소공원,,경기도 파주시 신촌동 725-4,37.733376,126.696106,4541,,,,,,2010-07-01,파주시 공원관리사업소,031-940-5382,2020-03-18
후곡공원,근린공원,경기도 파주시 쇠재로 33,경기도 파주시 금촌동 995번지,37.7500195989,126.7707155469,30997,배드민턴장,,주차장,도서관,분수,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
쇠재공원,근린공원,,경기도 파주시 금촌동 1010,37.750281,126.776137,45703,배드민턴장,,,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
금능공원,근린공원,경기도 파주시 가나무로 130,경기도 파주시 금릉동 428,37.7538390223,126.779899,10034,,조합놀이대,,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
금화어린이공원,어린이공원,,경기도 파주시 금촌동 973,37.755466,126.767949,3802,,조합놀이대,,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
새꽃어린이공원,어린이공원,경기도 파주시 새꽃로 35,경기도 파주시 금촌동 984번지 새꽃마을주공아파트,37.7538235384,126.7679849570,1500,배드민턴장,조합놀이대,,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
후곡어린이공원,어린이공원,,경기도 파주시 금촌동 991,37.751936,126.769017,1500,,"조합놀이대,그네",,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
석곶어린이공원,어린이공원,,경기도 파주시 동패동 1705,37.722897,126.719974,1572,,조합놀이대,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
청석어린이공원,어린이공원,,경기도 파주시 다율동 996,37.727731,126.715274,9467,농구장,조합놀이대,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
탄현지방산업단지 어린이공원,어린이공원,,경기도 파주시 탄현면 성동리 693-20,37.792781,126.693099,1504,,,,,,2001-09-26,파주시 공원관리사업소,031-940-5382,2020-03-18
덕은 어린이공원,어린이공원,,경기도 파주시 월롱면 덕은리 1286,37.811966,126.773904,2139,,조합놀이대,,,,2008-07-03,파주시 공원관리사업소,031-940-5382,2020-03-18
월롱산업단지 근린공원,근린공원,,경기도 파주시 문산읍 내포리 1641,37.838371,126.781465,22497,,,"화장실,주차장",공연장,,2011-06-07,파주시 공원관리사업소,031-940-5382,2020-03-18
월롱산업단지 소공원,소공원,,경기도 파주시 월롱면 능산리 663-1,37.829725,126.780005,5317,,,,,,2011-06-07,파주시 공원관리사업소,031-940-5382,2020-03-18
월롱산업단지 어린이공원,어린이공원,,경기도 파주시 문산읍 내포리 1637-3,37.838398,126.779749,1517,,조합놀이대,,,,2011-06-07,파주시 공원관리사업소,031-940-5382,2020-03-18
당동산업단지1호 근린공원,근린공원,,경기도 파주시 문산읍 당동리 884,37.867452,126.778633,15956,,,,,,2009-09-29,파주시 공원관리사업소,031-940-5382,2020-03-18
당동산업단지2호 어린이공원,어린이공원,,경기도 파주시 문산읍 당동리 897,37.866044,126.783601,4421,,"조합놀이대,그네",,,,2009-09-29,파주시 공원관리사업소,031-940-5382,2020-03-18
선유산업단지1호 근린공원,근린공원,,경기도 파주시 문산읍 선유리 1374,37.861547,126.814404,21818,,,,,,2010-07-28,파주시 공원관리사업소,031-940-5382,2020-03-18
선유산업단지2호 근린공원,근린공원,경기도 파주시 문산읍 돈유2로 26,경기도 파주시 문산읍 선유리 1379,37.8585232955,126.8066112271,16328,"축구장,족구장",,"화장실,주차장",,,2010-07-28,파주시 공원관리사업소,031-940-5382,2020-03-18
성혼선생의묘(선유지구),묘지공원,,경기도 파주시 문산읍 선유리 1379-3,37.856735,126.806287,68837,,,,,,2010-07-28,파주시 공원관리사업소,031-940-5382,2020-03-18
선유산업단지4호 어린이공원,근린공원,,경기도 파주시 문산읍 선유리 1367,37.860815,126.806153,1764,,조합놀이대,,,,2010-07-28,파주시 공원관리사업소,031-940-5382,2020-03-18
선유산업단지5호 어린이공원,어린이공원,,경기도 파주시 파주읍 향양리 700-2,37.853191,126.808561,4974,,"조합놀이대,그네",,,,2010-07-28,파주시 공원관리사업소,031-940-5382,2020-03-18
봉일천어린이공원1,어린이공원,,경기도 파주시 조리읍 봉일천리 306,37.74443505,126.8136671,4587,,"미끄럼틀, 그네",,,,2017-10-13,파주시 공원관리사업소,031-940-5382,2020-03-18
수변공원5호,수변공원,,경기도 파주시 야당동 1039,37.70999172,126.7603905,2754.6,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8692,2020-03-18
수변공원6호,수변공원,경기도 파주시 가람로116번길 107-24,경기도 파주시 와동동 1485,37.73350003,126.7673846,1599.6,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8692,2020-03-18
금신공원,근린공원,,경기도 파주시 금촌동 7-40,37.772260,126.774460,15439,,조합놀이대,,,,2018-12-14,파주시 공원관리사업소,031-940-5382,2020-03-18
금파지방산업단지 근린공원,근린공원,,경기도 파주시 파평면 금파리 527,37.924701,126.842895,1125,,,,,,2004-01-28,파주시 공원관리사업소,031-940-5382,2020-03-18
햇살담은 숲속 놀이터,어린이공원,,경기도 파주시 문산읍 당동리 944,37.863231,126.772101,346,,조합놀이대,,,,2015-09-10,파주시 공원관리사업소,031-940-5382,2020-03-18
가재울공원,근린공원,경기도 파주시 가온로 27,경기도 파주시 목동동 2-127,37.7251727904,126.7436368174,14865,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
가람공원,근린공원,,경기도 파주시 와동동 1326,37.730376,126.757928,21254,"배드민턴장,농구장,게이트볼장","조합놀이대,미끄럼틀",,,분수,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
가재울공원,근린공원,,경기도 파주시 목동동 993,37.727297,126.741985,48266,배드민턴장,,화장실,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
해솔공원 4호,근린공원,,경기도 파주시 목동동 670,37.726118,126.748901,21938,게이트볼장,"조합놀이대,흔들놀이기구",,,분수,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
해솔공원 5호,근린공원,,경기도 파주시 야당동 670-1,37.721155,126.764411,14038,,,,,분수,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
산내공원 6호,근린공원,,경기도 파주시 목동동 1091,37.719391,126.739782,44682,,"조합놀이대,미끄럼틀,그네,흔들놀이기구,건너는기구",,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
산내공원 10호,근린공원,,경기도 파주시 목동동 1144,37.721181,126.734443,42838,,,화장실,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
근린공원 11호,근린공원,,경기도 파주시 와동동 1591,37.734391,126.753266,10217,,"조합놀이대,흔들놀이기구,건너는기구",,,분수,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
운정호수공원,근린공원,,경기도 파주시 와동동 1412,37.7233905503,126.7563242246,567920,,"조합놀이대,흔들놀이기구,건너는기구","화장실,주차장",,분수,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
해솔어린이공원,어린이공원,,경기도 파주시 목동동 662,37.726297,126.746278,2049,농구장,"조합놀이대,그네,흔들놀이기구,회전놀이기구,오르는기구",,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
한울어린이공원,어린이공원,,경기도 파주시 동패동 1770,37.708612,126.741337,1808,,흔들놀이기구,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
가람어린이공원,어린이공원,,경기도 파주시 와동동 1335,37.734171,126.764127,3465,,"조합놀이대,미끄럼틀,그네,흔들놀이기구,회전놀이기구,건너는기구",,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 2호,소공원,,경기도 파주시 와동동 1571,37.735541,126.756435,1095,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 4호,소공원,,경기도 파주시 와동동 1623,37.734747,126.751218,1122,,,,,분수,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 5호,소공원,,경기도 파주시 목동동 733,37.732312,126.745916,526,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 6호,소공원,,경기도 파주시 목동동 747,37.731271,126.747091,861,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
한울공원,근린공원,,경기도 파주시 동패동 1884,37.712626,126.737515,32581,배드민턴장,"조합놀이대,그네,흔들놀이기구,회전놀이기구",,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
한솔공원,근린공원,,경기도 파주시 목동동 1008,37.725422,126.737706,61604,"배드민턴장,게이트볼장",,,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 7호,소공원,,경기도 파주시 목동동 771,37.730241,126.746801,725,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
서원어린이공원,어린이공원,,경기도 파주시 금촌동 999,37.749381,126.771079,1500,,조합놀이대,,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
쇠재어린이공원,어린이공원,,경기도 파주시 금촌동 1002,37.751943,126.774021,1500,,조합놀이대,,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
향교어린이공원,어린이공원,,경기도 파주시 금촌동 1027,37.748821,126.775173,1500,,조합놀이대,,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
금능어린이공원,어린이공원,경기도 파주시 쇠재안길 13,경기도 파주시 금릉동 442-2번지,37.7518712985,126.7798057199,1500,,조합놀이대,,,,2004-11-01,파주시 공원관리사업소,031-940-5382,2020-03-18
미우공원,어린이공원,,경기도 파주시 아동동 339-4,37.761374,126.778099,1500,,"조합놀이대,그네",,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
천수공원,어린이공원,경기도 파주시 아동로 41,경기도 파주시 아동동 358-6번지,37.7659964522,126.7787514874,1500,,"조합놀이대,그네",,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
문화공원,어린이공원,,경기도 파주시 금촌동 779,37.758786,126.779594,1500,,,,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
동현공원,어린이공원,,경기도 파주시 금촌동 794-1,37.756531,126.781163,1500,,조합놀이대,,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
명동공원,어린이공원,경기도 파주시 금정14길 16,경기도 파주시 금촌동 764-6번지,37.759871,126.7755604090,1503,,조합놀이대,,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
금정공원,어린이공원,,경기도 파주시 금촌동 775-1,37.757733,126.777092,1503,,"조합놀이대,그네",,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
금화공원,어린이공원,,경기도 파주시 금촌동 789-1,37.755661,126.775469,1504,,조합놀이대,,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
신화공원,어린이공원,,경기도 파주시 금촌동 935-1,37.760162,126.769811,1504,,,,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
새꽃공원,어린이공원,,경기도 파주시 금촌동 941-16,37.758448,126.769692,1500,,조합놀이대,,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
한마음공원,어린이공원,,경기도 파주시 금촌동 957-1,37.757091,126.772451,1500,,,,,,1981-07-31,파주시 공원관리사업소,031-940-5382,2020-03-18
새말어린이공원,어린이공원,,경기도 파주시 금촌동 424-33,37.769904,126.771841,1500,,조합놀이대,,,,2006-10-25,파주시 공원관리사업소,031-940-5382,2020-03-18
통일동산(1) 근린공원,근린공원,,경기도 파주시 탄현면 법흥리 1701,37.777004,126.703683,42598,족구장,,"화장실,주차장",,,1994-01-01,파주시 공원관리사업소,031-940-5382,2020-03-18
하늘소공원,근린공원,,경기도 파주시 탄현면 법흥리 1701,37.777004,126.703683,1626,,,,,,2000-08-23,파주시 공원관리사업소,031-940-5382,2020-03-18
풍뎅이공원-1,어린이공원,,경기도 파주시 탄현면 법흥리 1734,37.773008,126.700836,793,,조합놀이대,,,,2000-08-23,파주시 공원관리사업소,031-940-5382,2020-03-18
문발어린이공원,어린이공원,,경기도 파주시 문발동 556,37.725414,126.706205,5204,,조합놀이대,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
두일어린이공원,어린이공원,,경기도 파주시 문발동 614,37.718859,126.709871,1530,,조합놀이대,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
책향기어린이공원,어린이공원,,경기도 파주시 동패동 1709,37.721315,126.720319,1654,,조합놀이대,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
노을빛어린이공원,어린이공원,,경기도 파주시 문발동 543-3,37.728097,126.708461,1661,,조합놀이대,,,분수,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
당동산업단지3호 근린공원,근린공원,,경기도 파주시 문산읍 당동리 907,37.863353,126.780383,11534,"배드민턴장,족구장,축구장,농구장",,화장실,공연장,,2009-09-29,파주시 공원관리사업소,031-940-5382,2020-03-18
당동산업단지4호 근린공원,근린공원,,경기도 파주시 문산읍 당동리 928,37.861232,126.774804,10666,"배드민턴장,족구장","조합놀이대,그네",,,분수,2009-09-29,파주시 공원관리사업소,031-940-5382,2020-03-18
당동산업단지5호 소공원,소공원,,경기도 파주시 문산읍 당동리 877,37.869821,126.781902,8013,,,,,,2009-09-29,파주시 공원관리사업소,031-940-5382,2020-03-18
양우공원,어린이공원,,경기도 파주시 문산읍 선유리 1354,37.859932,126.794622,1550,,조합놀이대,,,,2007-03-01,파주시 공원관리사업소,031-940-5382,2020-03-18
선유어린이공원(선유7호),어린이공원,,경기도 파주시 문산읍 선유리 779-26,37.864014,126.800851,3546,,조합놀이대,,,,2008-05-08,파주시 공원관리사업소,031-940-5382,2020-03-18
북부근린공원,근린공원,,경기도 파주시 문산읍 당동리 936,37.868024,126.786909,54151,배드민턴장,,,,,2009-12-28,파주시 공원관리사업소,031-940-5382,2020-03-18
당동리 어린이공원,어린이공원,,경기도 파주시 문산읍 당동리 943,37.862704,126.771654,4763,,조합놀이대,,,,2009-12-28,파주시 공원관리사업소,031-940-5382,2020-03-18
선유3 어린이공원,어린이공원,,경기도 파주시 문산읍 선유리 1396,37.864805,126.798963,7284,,조합놀이대,,,,2012-11-23,파주시 공원관리사업소,031-940-5382,2020-03-18
솔내음공원,근린공원,,경기도 파주시 동패동 1688,37.724929,126.714585,16097,배드민턴장,,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
양지말공원,근린공원,,경기도 파주시 동패동 1712,37.718573,126.721625,23230,배드민턴장,,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
해돋이공원,근린공원,,경기도 파주시 동패동 1697,37.726008,126.719319,17326,배드민턴장,,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
달맞이공원,근린공원,,경기도 파주시 문발동 599,37.720262,126.707157,24264,,,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
물푸레공원,근린공원,경기도 파주시 청석로 360,경기도 파주시 다율동 981번지,37.7340427828,126.7202412426,13051,게이트볼장,조합놀이대,,,,2006-12-11,파주시 공원관리사업소,031-940-5382,2020-03-18
통일공원,근린공원,경기도 파주시 파주읍 통일로 1586-24,경기도 파주시 파주읍 봉서리 358-4번지,37.8490959281,126.7898881879,264134,"배드민턴장, 족구장, 테니스장",,"화장실,주차장",,,,파주시 공원관리사업소,031-940-5382,2020-03-18
동광어린이공원,어린이공원,,경기도 파주시 파주읍 연풍리 483-1,37.830971,126.832661,1510,,조합놀이대,,,,2009-11-27,파주시 공원관리사업소,031-940-5382,2020-03-18
법원 체육공원,근린공원,,경기도 파주시 법원읍 법원리 산40-3,37.848214,126.883711,23007,배드민턴장,조합놀이대,화장실,,,2005-09-07,파주시 공원관리사업소,031-940-5382,2020-03-18
오산지방산업단지 근린공원,근린공원,,경기도 파주시 조리읍 오산리 396-14,37.772866,126.837251,4686,,,,,,2006-04-24,파주시 공원관리사업소,031-940-5382,2020-03-18
조리어린이공원,어린이공원,,경기도 파주시 조리읍 봉일천리 272,37.746547,126.809241,1757,,조합놀이대,,,,2010-05-25,파주시 공원관리사업소,031-940-5382,2020-03-18
조리소공원,소공원,,경기도 파주시 조리읍 봉일천리 271,37.747508,126.806217,816,,,,,,2010-05-25,파주시 공원관리사업소,031-940-5382,2020-03-18
마장근린공원,근린공원,,경기도 파주시 광탄면 기산리 산150-15,37.772209,126.926603,265000,,,"화장실,주차장",,,,파주시 공원관리사업소,031-940-5382,2020-03-18
소공원 26호,소공원,,경기도 파주시 동패동 2013,37.710767,126.732193,882,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 27호,소공원,,경기도 파주시 동패동 1988,37.709683,126.733618,898,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 28호,소공원,,경기도 파주시 동패동 2032,37.709551,126.732941,804,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 29호,소공원,,경기도 파주시 동패동 2055,37.708197,126.734505,489,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
소공원 30호,소공원,,경기도 파주시 동패동 2034,37.709322,126.731084,1105,,,,,분수,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
두레공원,역사공원,,경기도 파주시 목동동 639,37.731358,126.748518,48257,,,,,연못,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
두레공원,역사공원,경기도 파주시 해솔로 88,경기도 파주시 목동동 666,37.7286678985,126.7466693960,38536,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
새암공원,역사공원,,경기도 파주시 야당동 1022,37.709514,126.747355,89255,,,,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
도래공원,역사공원,,경기도 파주시 다율동 895-1,37.734479,126.718652,61221,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
역사공원 6호,역사공원,,경기도 파주시 와동동 1476,37.731203,126.768011,2582,,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
라온공원,문화공원,,경기도 파주시 와동동 1348,37.727268,126.756256,47516,배드민턴장,,화장실,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
메아리공원,문화공원,,경기도 파주시 동패동 1766,37.708291,126.737316,18942,,,,,벽천,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
오름공원,문화공원,,경기도 파주시 야당동 993,37.714061,126.755546,13449,농구장,,,,,2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
세모뜰공원,문화공원,,경기도 파주시 와동동 1461-1,37.728359,126.762352,2359,,,,,"벽천,분수",2014-12-29,파주시 공원관리사업소,031-940-8694,2020-03-18
